GS	Data	Method	TP	F1	Recall	MCC
100226_v2019_sFL-DBSCR15-RTB13	Scoelicolor-rmabatch	Anova	9566	0.0259241543687729	0.985474399917585	0.113324209820045
100226_v2019_sFL-DBSCR15-RTB13	Scoelicolor-rmabatch	Friedman	5167	0.0267007725499315	0.532296281034305	0.0849089442766816
100226_v2019_sFL-DBSCR15-RTB13	Scoelicolor-rmabatch	Kendall	388	0.0293883734141261	0.0399711548367158	0.0303450675427318
100226_v2019_sFL-DBSCR15-RTB13	Scoelicolor-rmabatch	PartialCorrelationPearson	52	0.00905923344947735	0.00535695889564232	0.0124912171813935
100226_v2019_sFL-DBSCR15-RTB13	Scoelicolor-rmabatch	PartialCorrelationSpearman	75	0.0126198889449773	0.00772638302256104	0.0162598195404895
100226_v2019_sFL-DBSCR15-RTB13	Scoelicolor-rmabatch	Pearson	1600	0.0428259793096987	0.164829504481302	0.0634489575737346
100226_v2019_sFL-DBSCR15-RTB13	Scoelicolor-rmabatch	Spearman	1486	0.0402284847992637	0.153085402287009	0.0592981074824836
100226_v2019_sFL-DBSCR15-RTB13	Scoelicolor-rmabatch	Statmodel	3268	0.0355484004307579	0.33666426290306	0.0791233784447484
100226_v2019_sFL-DBSCR15_eStrong	Scoelicolor-rmabatch	Anova	500	0.0257705391196784	0.936329588014981	0.10192531508144
100226_v2019_sFL-DBSCR15_eStrong	Scoelicolor-rmabatch	Friedman	317	0.0295819335572975	0.593632958801498	0.0864859037324972
100226_v2019_sFL-DBSCR15_eStrong	Scoelicolor-rmabatch	Kendall	47	0.0665722379603399	0.0880149812734082	0.0664036039516231
100226_v2019_sFL-DBSCR15_eStrong	Scoelicolor-rmabatch	PartialCorrelationPearson	25	0.0386697602474865	0.0468164794007491	0.037120449456095
100226_v2019_sFL-DBSCR15_eStrong	Scoelicolor-rmabatch	PartialCorrelationSpearman	16	0.0243346007604563	0.0299625468164794	0.022562891642107
100226_v2019_sFL-DBSCR15_eStrong	Scoelicolor-rmabatch	Pearson	119	0.0561585653610193	0.222846441947566	0.0802795328661167
100226_v2019_sFL-DBSCR15_eStrong	Scoelicolor-rmabatch	Spearman	104	0.048048048048048	0.194756554307116	0.0685856681830137
100226_v2019_sFL-DBSCR15_eStrong	Scoelicolor-rmabatch	Statmodel	226	0.041452677916361	0.423220973782772	0.0895118119881259
